,index,Majors,Terms in Attendance
331,223,Applied Mathematics BA,5
332,77,Electrical Eng & Comp Sci BS,6
333,336,Electrical Eng & Comp Sci BS,7
334,172,Electrical Eng & Comp Sci BS,5
335,389,Summer Internatnl Visitor UG,U
336,54,"Computer Science BA, Mathematics BA",7
337,109,"Computer Science BA, Molecular & Cell Biology BA",7
338,72,Electrical Eng & Comp Sci BS,7
339,312,Letters & Sci Undeclared UG,3
340,79,Letters & Sci Undeclared UG,7
341,71,Chemical Engineering BS,7
342,116,"Data Science BA, Economics BA",8
343,63,Computer Science BA,7
344,285,Civil & Env Eng Prof MS,G
345,7,"Computer Science BA, Statistics BA",8
346,169,Letters & Sci Undeclared UG,5
347,259,Mechanical Engineering BS,8
348,380,Summer Internatnl Visitor UG,U
349,301,Letters & Sci Undeclared UG,3
350,2,Data Science BA,8
351,33,Chemical Engineering BS,8
352,70,Letters & Sci Undeclared UG,7
353,224,Economics BA,5
354,48,Bioengineering BS,8
355,159,Data Science BA,5
356,363,Letters & Sci Undeclared UG,7
357,148,"Computer Science BA, Molecular & Cell Biology BA",5
358,182,Computer Science BA,5
359,352,Electrical Eng & Comp Sci BS,7
360,304,Computer Science BA,3
361,99,"Computer Science BA, Political Science BA",7
362,78,"Economics BA, Molecular & Cell Biology BA",7
363,167,Electrical Eng & Comp Sci BS,5
364,371,Summer Internatnl Visitor UG,U
365,14,"Cognitive Science BA, Nutritional Science BS",8
366,162,Data Science BA,5
367,270,Letters & Sci Undeclared UG,5
368,263,Applied Mathematics BA,5
369,49,Computer Science BA,8
370,136,Industrial Eng & Ops Rsch BS,5
371,157,"Environmental Sciences BS, Industrial Eng & Ops Rsch BS",5
372,156,"Chemistry BS, Letters & Sci Undeclared UG",5
373,135,Letters & Sci Undeclared UG,4
374,200,Letters & Sci Undeclared UG,5
375,125,"Applied Mathematics BA, Computer Science BA",5
376,246,Electrical Eng & Comp Sci BS,8
377,123,"Business Administration BS, Economics BA",7
378,330,Civil Engineering BS,7
379,13,"English BA, Geography BA",8
380,225,"Computer Science BA, Physics BA",5
381,30,"Applied Mathematics BA, Computer Science BA",8
382,351,Statistics BA,7
383,23,Music BA,8
384,278,Summer Internatnl Visitor GR,G
385,106,Sociology BA,7
386,98,Molecular & Cell Biology BA,7
387,24,Data Science BA,7
388,298,Letters & Sci Undeclared UG,3
389,297,Data Science BA,3
390,180,Letters & Sci Undeclared UG,5
391,331,Electrical Eng & Comp Sci BS,7
392,350,Business Administration BS,7
